"40 - Mayflower   "
05/09/2016 --   8:45 AM
6.7.57 
Informe PMIX - Todos Terminales
05/08/2016
Centro de Consumos Seleccionados: TODOS,


"","Articulo","","Num","Precio","","","","Comida","%",
"Rango","Num","Nombre de Articulo","Vendido","Vendido","Cantidad","Costo","Rentabilidad","Costo %","Ventas",
" "," "," "," "," "," "," "," "," "," ",
"  54","1007","G12oz X G16oz","9.00","0.27 ","2.43 ","0.00 ","2.43 ","0.00","0.14 ",
"  55","4702","M.Caldo Gallina","1.00","2.23 ","2.23 ","0.00 ","2.23 ","0.00","0.13 ",
"  56","4614","M.1/2Chaulafan","1.00","2.01 ","2.01 ","0.00 ","2.01 ","0.00","0.12 ",
"  57","912","Gaseosa 16oz","2.00","0.98 ","1.96 ","0.00 ","1.96 ","0.00","0.11 ",
"  58","4601","M.AgrandaLomo","1.00","1.78 ","1.78 ","0.00 ","1.78 ","0.00","0.10 ",
"  59","5608","Cerdo","1.00","1.78 ","1.78 ","0.00 ","1.78 ","0.00","0.10 ",
"  60","5604","Pollo","1.00","1.78 ","1.78 ","0.00 ","1.78 ","0.00","0.10 ",
"  61","1012","G12oz XLimo22oz","2.00","0.88 ","1.76 ","0.00 ","1.76 ","0.00","0.10 ",
"  62","904","Jugo Natu 16oz","1.00","1.43 ","1.43 ","0.00 ","1.43 ","0.00","0.08 ",
"  63","1009","G12oz XFuze16oz","4.00","0.27 ","1.08 ","0.00 ","1.08 ","0.00","0.06 ",
"  64","906","VasoLimona 16oz","1.00","0.98 ","0.98 ","0.00 ","0.98 ","0.00","0.06 ",
"  65","1005","G12ozXJugNa16oz","1.00","0.88 ","0.88 ","0.00 ","0.88 ","0.00","0.05 ",
"  66","4701","M.Caldo Jr","1.00","0.88 ","0.88 ","0.00 ","0.88 ","0.00","0.05 ",
"  67","4611","M.Porc. Arroz","1.00","0.88 ","0.88 ","0.00 ","0.88 ","0.00","0.05 ",
